epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,9867.77,0.81064,2.45562,0.22672,0.39965,0.01403,1.32097,0.97206,0.97556,0.99046,0.89104,0.89116,0.87766,0.90077,0.77576,0.57365,1.45128,0.061,0.22088,0.01239,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10096.1,0.80703,2.43146,0.22584,0.40083,0.01383,1.2611,0.97033,0.97324,0.99037,0.89052,0.89111,0.87605,0.90012,0.77465,0.57159,1.43682,0.06093,0.22439,0.01239,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10333.6,0.81147,2.4701,0.22643,0.40238,0.01398,1.36297,0.97279,0.974,0.99091,0.89172,0.89707,0.87413,0.90083,0.77676,0.56979,1.43722,0.06021,0.21963,0.01236,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10590.1,0.79607,2.41094,0.22489,0.39051,0.01367,1.22808,0.96965,0.97642,0.99079,0.89307,0.89871,0.87515,0.90174,0.77887,0.56644,1.4292,0.05976,0.21605,0.01226,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10900.9,0.80834,2.42743,0.22416,0.4012,0.01391,1.29738,0.97277,0.974,0.99081,0.89254,0.89401,0.88354,0.90142,0.77845,0.56484,1.41241,0.06034,0.21646,0.01223,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11195,0.79676,2.36102,0.22267,0.39462,0.01372,1.15326,0.97143,0.97481,0.99082,0.89367,0.89579,0.8825,0.90228,0.77997,0.56382,1.40363,0.05913,0.21558,0.0122,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11502.2,0.79777,2.37082,0.22226,0.38641,0.01366,1.16846,0.97205,0.97491,0.99105,0.89481,0.89396,0.88846,0.90654,0.78198,0.5634,1.39845,0.05824,0.2143,0.01219,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11817.3,0.79324,2.35334,0.22093,0.39142,0.01357,1.14162,0.97522,0.97286,0.99102,0.89491,0.89351,0.88638,0.90222,0.78145,0.56226,1.3971,0.05804,0.21414,0.01217,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12117,0.79115,2.32196,0.21899,0.39315,0.01355,1.13477,0.97484,0.97362,0.99123,0.89524,0.89793,0.88456,0.90543,0.78291,0.56029,1.38955,0.05751,0.21211,0.01212,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12408.1,0.78602,2.32367,0.21866,0.38902,0.01345,1.06138,0.97321,0.97362,0.991,0.89596,0.90467,0.88238,0.90859,0.7852,0.55932,1.37956,0.05743,0.21272,0.0121,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12723.2,0.78702,2.30977,0.21614,0.38638,0.01349,1.0755,0.97448,0.97451,0.9913,0.89644,0.90321,0.88716,0.91041,0.78742,0.55905,1.37544,0.05764,0.21157,0.01209,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13037.4,0.7858,2.29061,0.21646,0.38515,0.01338,1.0218,0.97596,0.97284,0.99115,0.897,0.90302,0.88755,0.91038,0.78836,0.55733,1.36845,0.05727,0.20991,0.01207,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13346.1,0.78054,2.282,0.21551,0.37928,0.01333,1.04423,0.97401,0.9744,0.991,0.89726,0.90032,0.889,0.91064,0.78906,0.556,1.36035,0.05708,0.21092,0.01203,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13607.4,0.77352,2.26531,0.21215,0.37539,0.01319,1.04012,0.97563,0.97436,0.99081,0.89742,0.89976,0.89113,0.91034,0.78944,0.55466,1.35641,0.05688,0.20978,0.01199,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13921.1,0.77394,2.23539,0.21393,0.37306,0.01323,0.94397,0.97453,0.97451,0.99096,0.89781,0.90541,0.88887,0.91153,0.78993,0.5533,1.35307,0.05671,0.20861,0.01195,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,14234.4,0.77377,2.23052,0.21183,0.36908,0.01323,0.94905,0.97546,0.97579,0.99097,0.89836,0.90525,0.89001,0.91195,0.79178,0.55178,1.34891,0.0564,0.20759,0.01191,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14553,0.76547,2.18785,0.20878,0.36654,0.01304,0.88294,0.97605,0.9765,0.99104,0.89975,0.90494,0.8913,0.91232,0.79397,0.55009,1.34311,0.05623,0.20573,0.01187,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14862.7,0.76499,2.22016,0.21094,0.3717,0.01302,0.89017,0.97592,0.97609,0.99106,0.89959,0.90515,0.89168,0.91316,0.79467,0.54976,1.34148,0.05636,0.20613,0.01187,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,15166,0.75723,2.16178,0.21057,0.36008,0.01281,0.81739,0.97602,0.97681,0.99116,0.90003,0.90371,0.89384,0.9134,0.79533,0.54912,1.33675,0.05626,0.20551,0.01184,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,15477.6,0.7599,2.16912,0.21036,0.36294,0.01289,0.86125,0.97781,0.97642,0.99122,0.90007,0.90603,0.89244,0.91377,0.79599,0.54852,1.33385,0.05625,0.20566,0.01183,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15792.4,0.74874,2.14929,0.20816,0.3509,0.01267,0.80014,0.97656,0.97808,0.99108,0.90035,0.90765,0.89308,0.91428,0.79685,0.54784,1.33085,0.05604,0.2054,0.01181,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,16077.7,0.74657,2.12573,0.20605,0.35119,0.01274,0.79432,0.97574,0.97834,0.99119,0.90119,0.90906,0.89295,0.91504,0.79792,0.54667,1.32767,0.05574,0.20519,0.01178,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,16306.4,0.7482,2.11456,0.205,0.35795,0.01272,0.78711,0.97721,0.97846,0.99125,0.90155,0.9078,0.89333,0.91529,0.79859,0.54602,1.3231,0.05554,0.20427,0.01176,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,16549.9,0.74483,2.09383,0.20317,0.35264,0.01268,0.76268,0.97708,0.97785,0.99132,0.90181,0.90927,0.89398,0.91549,0.79909,0.54475,1.31924,0.05524,0.20405,0.01173,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,16796.8,0.74279,2.09723,0.20319,0.35508,0.01261,0.74692,0.97648,0.97896,0.99138,0.90207,0.90949,0.89257,0.91537,0.79979,0.54434,1.31919,0.05507,0.20189,0.01172,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,17044,0.74577,2.09531,0.20559,0.35133,0.01267,0.73219,0.9761,0.9786,0.99127,0.90228,0.90913,0.89423,0.91579,0.80092,0.54376,1.31717,0.0549,0.2027,0.0117,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,17287.6,0.73247,2.06192,0.2062,0.34826,0.01232,0.68928,0.97628,0.9791,0.99134,0.90256,0.91041,0.89525,0.91615,0.80145,0.54339,1.31603,0.05473,0.20144,0.0117,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,17528.2,0.73468,2.05414,0.20419,0.34806,0.01247,0.67271,0.97636,0.97906,0.99131,0.90298,0.91042,0.89576,0.91654,0.80252,0.5427,1.31288,0.05453,0.20123,0.01168,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,17768.4,0.73007,2.0449,0.20007,0.34785,0.01236,0.67954,0.97677,0.97948,0.99131,0.9032,0.91135,0.89475,0.91674,0.80332,0.54231,1.31102,0.05432,0.20032,0.01167,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,18011,0.72397,2.00818,0.19743,0.34463,0.01225,0.61599,0.97666,0.97885,0.99144,0.90354,0.91137,0.89372,0.91694,0.80413,0.54155,1.30847,0.05413,0.20014,0.01166,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,18249.9,0.72054,1.99277,0.19692,0.33863,0.01216,0.55226,0.97575,0.97974,0.99146,0.90384,0.91201,0.89346,0.91707,0.80449,0.54111,1.30628,0.05388,0.19979,0.01165,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,18489.9,0.71436,1.97605,0.19621,0.33782,0.01201,0.56165,0.97378,0.97923,0.99137,0.90413,0.91062,0.89456,0.91709,0.8052,0.53973,1.30306,0.05354,0.20104,0.01161,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,18727.8,0.71227,1.9545,0.19463,0.32973,0.01204,0.5428,0.97537,0.97872,0.99145,0.90532,0.91149,0.89448,0.91765,0.80647,0.53911,1.30026,0.05331,0.19982,0.01159,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,18965.1,0.71234,1.96592,0.1947,0.33186,0.01204,0.5754,0.97616,0.97885,0.99144,0.9059,0.91205,0.89384,0.9178,0.80719,0.53821,1.29817,0.05313,0.19934,0.01157,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,19202.2,0.70624,1.9316,0.19359,0.33013,0.01197,0.54649,0.97696,0.9791,0.99148,0.90623,0.91355,0.89423,0.91849,0.80798,0.53788,1.29516,0.05287,0.19791,0.01157,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,19440.9,0.70355,1.92199,0.1918,0.32846,0.0118,0.49687,0.97647,0.97852,0.99144,0.90635,0.91264,0.89486,0.91878,0.80823,0.53709,1.29237,0.05266,0.1984,0.01155,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,19681.1,0.69899,1.89893,0.19152,0.31998,0.01182,0.49049,0.97745,0.97834,0.99149,0.90666,0.91359,0.89329,0.91891,0.80855,0.53585,1.29083,0.05238,0.19804,0.01152,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,19912,0.7004,1.90469,0.18942,0.33103,0.01173,0.4645,0.97722,0.97874,0.99155,0.90721,0.91447,0.89387,0.92089,0.80922,0.53497,1.28793,0.0521,0.19703,0.01149,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,20140.4,0.70046,1.91095,0.18969,0.32966,0.01181,0.49954,0.97736,0.97906,0.9915,0.9072,0.91363,0.89509,0.92148,0.8097,0.53416,1.28435,0.05181,0.1971,0.01147,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,20369.1,0.69029,1.88238,0.18809,0.32481,0.0116,0.43972,0.97821,0.97859,0.99143,0.9075,0.91426,0.89435,0.92183,0.81021,0.53328,1.28083,0.05157,0.19707,0.01145,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,20597.1,0.68949,1.85432,0.18665,0.31933,0.01156,0.44115,0.97935,0.97915,0.99158,0.90777,0.91587,0.89487,0.92317,0.81109,0.53285,1.27952,0.05136,0.19535,0.01144,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,20825.7,0.6898,1.86303,0.18615,0.31898,0.01157,0.4163,0.97921,0.97872,0.99179,0.90818,0.91535,0.89754,0.92378,0.8115,0.53183,1.27672,0.05117,0.19525,0.01142,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,21054.1,0.68383,1.82153,0.18589,0.32163,0.01144,0.39233,0.9791,0.97886,0.99159,0.90844,0.91571,0.8971,0.92407,0.81223,0.53103,1.27437,0.05098,0.19471,0.0114,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,21283.1,0.67896,1.81733,0.18458,0.31854,0.01131,0.37703,0.97772,0.9788,0.99156,0.90878,0.9151,0.89729,0.92424,0.81238,0.53047,1.27202,0.05074,0.19483,0.01138,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,21512.1,0.67724,1.81911,0.18342,0.32435,0.01135,0.37225,0.97726,0.98023,0.99161,0.90901,0.91629,0.89828,0.92516,0.81351,0.52967,1.26955,0.05046,0.19374,0.01136,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,21741.1,0.6728,1.78168,0.18074,0.31237,0.01126,0.34877,0.97762,0.97984,0.99154,0.90912,0.91748,0.89834,0.9256,0.81403,0.52898,1.267,0.05019,0.19386,0.01135,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,21969.8,0.66733,1.7543,0.1799,0.30677,0.01118,0.32583,0.97861,0.97927,0.99149,0.90922,0.91765,0.90034,0.92616,0.81479,0.52838,1.26378,0.04992,0.19358,0.01134,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,22198.6,0.66748,1.76619,0.17808,0.31195,0.01108,0.31681,0.97812,0.97923,0.99149,0.90931,0.9173,0.89958,0.92637,0.81545,0.52797,1.26029,0.04971,0.19383,0.01133,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,22427.2,0.65878,1.73907,0.18004,0.30718,0.01096,0.29491,0.97825,0.97808,0.99169,0.90987,0.91773,0.89971,0.92668,0.81619,0.52751,1.25804,0.04952,0.19316,0.01132,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,22656.1,0.66344,1.75761,0.17912,0.30539,0.01105,0.31384,0.97688,0.97961,0.99174,0.91018,0.9185,0.89904,0.92699,0.81686,0.52696,1.25583,0.04934,0.1924,0.0113,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,22885.5,0.65917,1.7242,0.17778,0.3086,0.01103,0.28909,0.97895,0.9778,0.99164,0.91037,0.91668,0.90018,0.92686,0.81687,0.52632,1.25451,0.04913,0.19299,0.01129,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,23114.8,0.50956,1.09595,0.06877,0.17994,0.01148,0.51541,0.97816,0.97732,0.99153,0.91069,0.91787,0.90008,0.92709,0.81757,0.52539,1.25278,0.04856,0.19288,0.01127,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,23342.4,0.49685,1.06505,0.06397,0.17522,0.01111,0.47177,0.97614,0.98036,0.99171,0.91106,0.91804,0.90124,0.92756,0.81865,0.5246,1.25003,0.04794,0.19153,0.01125,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
